Frame,Element,Mass,X1,Y1,Z1,X2,Y2,Z2,X3,Y3,Z3,X4,Y4,Z4,Thickness
C24,TOP_FLANGE,125,9499.6,715,-1909.8,9499.6,-715,-1909.8,9521.6,-715,-1909.8,9521.6,715,-1909.8,-1.4
C24,WEB_1,160,9499.6,715,-1911.2,9499.6,0,-1911.2,9499.6,0,-1955.8,9499.6,715,-1979.8,1.4
C24,WEB_2,160,9499.6,-715,-1911.2,9499.6,0,-1911.2,9499.6,0,-1955.8,9499.6,-715,-1979.8,-1.4
C25,TOP_FLANGE,125,10033.0,715,-1909.8,10033.0,-715,-1909.8,10055.0,-715,-1909.8,10055.0,715,-1909.8,-1.4
C25,WEB_1,160,10033.0,715,-1911.2,10033.0,0,-1911.2,10033.0,0,-1957.2,10033.0,715,-1981.2,1.4
C25,WEB_2,160,10033.0,-715,-1911.2,10033.0,0,-1911.2,10033.0,0,-1957.2,10033.0,-715,-1981.2,-1.4
C26,TOP_FLANGE,125,10556.4,715,-1909.8,10556.4,-715,-1909.8,10578.4,-715,-1909.8,10578.4,715,-1909.8,-1.4
C26,WEB_1,160,10556.4,715,-1911.2,10556.4,0,-1911.2,10556.4,0,-1957.2,10556.4,715,-1981.2,1.4
C26,WEB_2,160,10556.4,-715,-1911.2,10556.4,0,-1911.2,10556.4,0,-1957.2,10556.4,-715,-1981.2,-1.4
C27,TOP_FLANGE,125,11099.8,715,-1909.8,11099.8,-715,-1909.8,11121.8,-715,-1909.8,11121.8,715,-1909.8,-1.4
C27,WEB_1,160,11099.8,715,-1911.2,11099.8,0,-1911.2,11099.8,0,-1957.2,11099.8,715,-1981.2,1.4
C27,WEB_2,160,11099.8,-715,-1911.2,11099.8,0,-1911.2,11099.8,0,-1957.2,11099.8,-715,-1981.2,-1.4
C28,TOP_FLANGE,125,11633.2,715,-1909.8,11633.2,-715,-1909.8,11655.2,-715,-1909.8,11655.2,715,-1909.8,-1.4
C28,WEB_1,160,11633.2,715,-1911.2,11633.2,0,-1911.2,11633.2,0,-1957.2,11633.2,715,-1981.2,1.4
C28,WEB_2,160,11633.2,-715,-1911.2,11633.2,0,-1911.2,11633.2,0,-1957.2,11633.2,-715,-1981.2,-1.4
C29,TOP_FLANGE,125,12166.6,715,-1909.8,12166.6,-715,-1909.8,12188.6,-715,-1909.8,12188.6,715,-1909.8,-1.4
C29,WEB_1,160,12166.6,715,-1911.2,12166.6,0,-1911.2,12166.6,0,-1957.2,12166.6,715,-1981.2,1.4
C29,WEB_2,160,12166.6,-715,-1911.2,12166.6,0,-1911.2,12166.6,0,-1957.2,12166.6,-715,-1981.2,-1.4
C30,TOP_FLANGE,125,12700.0,715,-1909.8,12700.0,-715,-1909.8,12722.0,-715,-1909.8,12722.0,715,-1909.8,-1.4
C30,WEB_1,160,12700.0,715,-1911.2,12700.0,0,-1911.2,12700.0,0,-1957.2,12700.0,715,-1981.2,1.4
C30,WEB_2,160,12700.0,-715,-1911.2,12700.0,0,-1911.2,12700.0,0,-1957.2,12700.0,-715,-1981.2,-1.4
C31,TOP_FLANGE,125,13233.4,715,-1909.8,13233.4,-715,-1909.8,13255.4,-715,-1909.8,13255.4,715,-1909.8,-1.4
C31,WEB_1,160,13233.4,715,-1911.2,13233.4,0,-1911.2,13233.4,0,-1957.2,13233.4,715,-1981.2,1.4
C31,WEB_2,160,13233.4,-715,-1911.2,13233.4,0,-1911.2,13233.4,0,-1957.2,13233.4,-715,-1981.2,-1.4
C32,TOP_FLANGE,125,13766.8,715,-1909.8,13766.8,-715,-1909.8,13788.8,-715,-1909.8,13788.8,715,-1909.8,-1.4
C32,WEB_1,160,13766.8,715,-1911.2,13766.8,0,-1911.2,13766.8,0,-1957.2,13766.8,715,-1981.2,1.4
C32,WEB_2,160,13766.8,-715,-1911.2,13766.8,0,-1911.2,13766.8,0,-1957.2,13766.8,-715,-1981.2,-1.4
C33,TOP_FLANGE,125,14300.2,715,-1909.8,14300.2,-715,-1909.8,14322.2,-715,-1909.8,14322.2,715,-1909.8,-1.4
C33,WEB_1,160,14300.2,715,-1911.2,14300.2,0,-1911.2,14300.2,0,-1957.2,14300.2,715,-1981.2,1.4
C33,WEB_2,160,14300.2,-715,-1911.2,14300.2,0,-1911.2,14300.2,0,-1957.2,14300.2,-715,-1981.2,-1.4
C34,TOP_FLANGE,125,14833.6,715,-1909.8,14833.6,-715,-1909.8,14855.6,-715,-1909.8,14855.6,715,-1909.8,-1.4
C34,WEB_1,160,14833.6,715,-1911.2,14833.6,0,-1911.2,14833.6,0,-1957.2,14833.6,715,-1981.2,1.4
C34,WEB_2,160,14833.6,-715,-1911.2,14833.6,0,-1911.2,14833.6,0,-1957.2,14833.6,-715,-1981.2,-1.4
C35,TOP_FLANGE,125,15367.0,715,-1909.8,15367.0,-715,-1909.8,15389.0,-715,-1909.8,15389.0,715,-1909.8,-1.4
C35,WEB_1,160,15367.0,715,-1911.2,15367.0,0,-1911.2,15367.0,0,-1957.2,15367.0,715,-1981.2,1.4
C35,WEB_2,160,15367.0,-715,-1911.2,15367.0,0,-1911.2,15367.0,0,-1957.2,15367.0,-715,-1981.2,-1.4
