Frame,X,Y,Z
C35.8,19634.2,89.0,1973.0
C35.8,19634.2,265.0,1957.0
C35.8,19634.2,440.0,1925.0
C35.8,19634.2,611.0,1878.0
C35.8,19634.2,777.0,1815.0
C35.8,19634.2,936.0,1738.0
C35.8,19634.2,1089.0,1647.0
C35.8,19634.2,1232.0,1543.0
C35.8,19634.2,1357.0,1434.0
C35.8,19634.2,1473.0,1315.0
C35.8,19634.2,1578.0,1187.0
C35.8,19634.2,1659.0,1071.0
C35.8,19634.2,1731.0,950.0
C35.8,19634.2,1795.0,824.0
C35.8,19634.2,1857.0,672.0
C35.8,19634.2,1907.0,515.0
C35.8,19634.2,1943.0,354.0
C35.8,19634.2,1966.0,191.0
C35.8,19634.2,1974.0,50.0
C35.8,19634.2,1973.0,-89.0
C35.8,19634.2,1965.0,-230.0
C35.8,19634.2,1948.0,-370.0
C35.8,19634.2,1924.0,-508.0
C35.8,19634.2,1892.0,-642.0
C35.8,19634.2,1854.0,-773.0
C35.8,19634.2,1809.0,-992.0
C35.8,19634.2,1757.0,-1029.0
C35.8,19634.2,1697.0,-1151.0
C35.8,19634.2,1628.0,-1269.0
C35.8,19634.2,1550.0,-1382.0
C35.8,19634.2,1466.0,-1489.0
C35.8,19634.2,1373.0,-1590.0
C35.8,19634.2,1281.0,-1678.0
C35.8,19634.2,1183.0,-1759.0
C35.8,19634.2,1080.0,-1834.0
C35.8,19634.2,972.0,-1902.0
C35.8,19634.2,860.0,-1963.0
C35.8,19634.2,744.0,-2016.0
C35.8,19634.2,625.0,-2061.0
C35.8,19634.2,504.0,-2098.0
C35.8,19634.2,380.0,-2128.0
C35.8,19634.2,254.0,-2149.0
C35.8,19634.2,127.0,-2161.0
C35.8,19634.2,0.0,-2166.0
C35.8,19634.2,-89.0,1973.0
C35.8,19634.2,-265.0,1957.0
C35.8,19634.2,-440.0,1925.0
C35.8,19634.2,-611.0,1878.0
C35.8,19634.2,-777.0,1815.0
C35.8,19634.2,-936.0,1738.0
C35.8,19634.2,-1089.0,1647.0
C35.8,19634.2,-1232.0,1543.0
C35.8,19634.2,-1357.0,1434.0
C35.8,19634.2,-1473.0,1315.0
C35.8,19634.2,-1578.0,1187.0
C35.8,19634.2,-1659.0,1071.0
C35.8,19634.2,-1731.0,950.0
C35.8,19634.2,-1795.0,824.0
C35.8,19634.2,-1857.0,672.0
C35.8,19634.2,-1907.0,515.0
C35.8,19634.2,-1943.0,354.0
C35.8,19634.2,-1966.0,191.0
C35.8,19634.2,-1974.0,50.0
C35.8,19634.2,-1973.0,-89.0
C35.8,19634.2,-1965.0,-230.0
C35.8,19634.2,-1948.0,-370.0
C35.8,19634.2,-1924.0,-508.0
C35.8,19634.2,-1892.0,-642.0
C35.8,19634.2,-1854.0,-773.0
C35.8,19634.2,-1809.0,-992.0
C35.8,19634.2,-1757.0,-1029.0
C35.8,19634.2,-1697.0,-1151.0
C35.8,19634.2,-1628.0,-1269.0
C35.8,19634.2,-1550.0,-1382.0
C35.8,19634.2,-1466.0,-1489.0
C35.8,19634.2,-1373.0,-1590.0
C35.8,19634.2,-1281.0,-1678.0
C35.8,19634.2,-1183.0,-1759.0
C35.8,19634.2,-1080.0,-1834.0
C35.8,19634.2,-972.0,-1902.0
C35.8,19634.2,-860.0,-1963.0
C35.8,19634.2,-744.0,-2016.0
C35.8,19634.2,-625.0,-2061.0
C35.8,19634.2,-504.0,-2098.0
C35.8,19634.2,-380.0,-2128.0
C35.8,19634.2,-254.0,-2149.0
C35.8,19634.2,-127.0,-2161.0
